"card_id";"customer_id";"card_type";"card_number";"expiry_date";"cvv"
1;11116;"Debit";"6555998626141601";"2028-04-18";"544"
2;29138;"Debit";"30088380045780";"2027-09-11";"901"
3;25007;"Debit";"4221934568013";"2027-08-29";"540"
4;36001;"Debit";"3530503030141713";"2030-01-23";"306"
5;23937;"Debit";"4280591220481577";"2026-09-19";"335"
6;8771;"Credit";"38849399495817";"2029-10-12";"689"
7;19867;"Credit";"6011624849026167";"2030-05-02";"167"
8;44862;"Debit";"4605519921672";"2026-11-18";"563"
9;13873;"Debit";"4768650989153";"2029-10-25";"393"
10;4654;"Debit";"6533420528637146";"2029-05-03";"574"
11;41809;"Credit";"4207831028436766383";"2030-04-13";"105"
12;13009;"Credit";"4527831986223083";"2029-01-21";"693"
13;6729;"Debit";"6560949418449317";"2026-12-18";"326"
14;39608;"Credit";"4343634338764735344";"2028-03-20";"286"
15;22192;"Debit";"4382788525724599388";"2030-01-24";"559"
16;7759;"Credit";"2239229693177887";"2027-12-24";"386"
17;36747;"Debit";"3551034681179574";"2030-01-11";"186"
18;4342;"Debit";"3504152818453080";"2028-04-22";"118"
19;20579;"Debit";"3503611684070949";"2030-09-20";"371"
20;47667;"Debit";"3588987781935285";"2030-11-01";"357"
21;47467;"Credit";"3530460493583891";"2027-01-28";"820"
22;28916;"Credit";"4041231101227563";"2028-02-12";"750"
23;21539;"Credit";"4738143980385917";"2027-10-28";"766"
24;6739;"Credit";"30242131260822";"2029-03-04";"967"
25;16938;"Credit";"180029370403314";"2027-06-21";"663"
26;10470;"Debit";"30113900437786";"2028-07-20";"596"
27;37027;"Debit";"30488747815216";"2029-11-21";"124"
28;8868;"Credit";"180035166213981";"2028-12-03";"584"
29;19932;"Credit";"630489335483";"2026-09-25";"348"
30;15611;"Debit";"6011629292562113";"2030-01-11";"569"
31;6567;"Credit";"213160312081529";"2028-09-05";"674"
32;9242;"Credit";"213114525970796";"2026-10-08";"594"
33;17371;"Debit";"4982004527851719727";"2028-12-08";"762"
34;46684;"Debit";"4995286147929370";"2026-09-17";"876"
35;40237;"Debit";"4341799316713343";"2029-10-20";"145"
36;12;"Debit";"3537814786889899";"2030-10-10";"547"
37;22284;"Debit";"4571836982136309";"2027-10-25";"738"
38;14913;"Debit";"30023281728028";"2028-11-03";"230"
39;18874;"Credit";"30048264730022";"2028-08-18";"730"
40;27854;"Credit";"4823173053126";"2028-02-23";"636"
41;5330;"Credit";"4198786600344";"2028-11-14";"375"
42;47925;"Credit";"4574253349704240";"2027-08-06";"917"
43;16480;"Debit";"213110952236974";"2026-10-06";"809"
44;8814;"Credit";"3511520086736504";"2027-02-27";"143"
45;47987;"Debit";"2281770920381013";"2030-04-20";"579"
46;28733;"Credit";"503897067370";"2027-05-30";"213"
47;3567;"Debit";"6011329583966780";"2026-06-06";"367"
48;33221;"Credit";"3502173581450741";"2030-09-15";"619"
49;9098;"Debit";"2263789620999645";"2026-09-12";"345"
50;7177;"Credit";"6500228621717726";"2029-12-14";"886"
51;40351;"Debit";"6011082759164868";"2025-12-31";"568"
52;29869;"Credit";"3594608977426093";"2027-11-11";"746"
53;14322;"Credit";"3561222231261715";"2029-08-01";"556"
54;34558;"Credit";"4031243841905095";"2030-09-24";"642"
55;8321;"Debit";"3518718401303728";"2028-07-16";"257"
56;8482;"Debit";"4833090651101186";"2029-07-22";"155"
57;30023;"Credit";"6011099190562146";"2027-01-11";"365"
58;40444;"Credit";"4893275276285855514";"2026-07-04";"837"
59;9551;"Debit";"4338211317287108";"2025-12-20";"558"
60;31634;"Debit";"675970554167";"2029-05-10";"251"
61;928;"Credit";"4170616558008602";"2029-02-19";"552"
62;36737;"Credit";"349603855943297";"2029-04-01";"570"
63;9542;"Debit";"4282681395077421";"2027-10-20";"654"
64;38615;"Credit";"4526423994979";"2027-12-06";"514"
65;3130;"Debit";"2280371161701059";"2027-02-13";"988"
66;36759;"Debit";"180064259340998";"2029-12-31";"290"
67;27061;"Debit";"4410851383276305676";"2029-10-18";"904"
68;32165;"Debit";"676291420369";"2026-12-11";"640"
69;43443;"Debit";"3586224647912197";"2026-11-14";"255"
70;1324;"Credit";"568174778338";"2026-04-24";"272"
71;14035;"Debit";"4918282751032944";"2026-08-21";"477"
72;40979;"Credit";"30098348600204";"2029-07-05";"260"
73;42900;"Debit";"503830208487";"2029-05-15";"820"
74;29180;"Credit";"6011725025458775";"2027-12-05";"225"
75;38499;"Credit";"3552364565438120";"2027-07-20";"438"
76;4866;"Credit";"180070284914731";"2026-10-05";"418"
77;47906;"Credit";"4853811746455994447";"2026-07-04";"803"
78;8095;"Debit";"30495405796307";"2030-04-16";"555"
79;2306;"Credit";"6571220194031936";"2030-07-11";"210"
80;49743;"Credit";"3548191430693101";"2028-06-13";"715"
81;43825;"Debit";"4214330378615327";"2030-07-26";"538"
82;20440;"Credit";"4930813399366213";"2027-04-22";"591"
83;13409;"Credit";"5254531373824081";"2028-07-11";"552"
84;22478;"Credit";"4831810347878349";"2028-05-16";"649"
85;18149;"Debit";"4687702243314310";"2029-05-13";"936"
86;2837;"Debit";"213141307695028";"2027-05-30";"543"
87;13485;"Credit";"4880081419933442";"2029-06-06";"984"
88;25668;"Credit";"371819033935036";"2027-04-01";"107"
89;4760;"Debit";"4955329794771";"2030-02-07";"285"
90;27666;"Credit";"346985391549487";"2028-09-29";"897"
91;41171;"Debit";"4780618932191";"2030-08-24";"867"
92;7338;"Credit";"213174944113873";"2030-03-29";"962"
93;29886;"Credit";"348255288237630";"2026-07-04";"293"
94;25550;"Debit";"2421302470324390";"2028-10-22";"275"
95;19521;"Credit";"6011284693965174";"2029-10-07";"652"
96;34266;"Debit";"4099237056591";"2027-08-20";"343"
97;11758;"Credit";"4214821541803485";"2027-01-02";"150"
98;34764;"Debit";"630405683594";"2029-01-11";"108"
99;7826;"Debit";"4685983035696336";"2028-07-12";"132"
100;48775;"Debit";"2275419975453842";"2027-04-14";"763"
101;30646;"Credit";"4063493391914978";"2027-09-05";"274"
102;21767;"Credit";"4389909471468004";"2027-04-30";"521"
103;35769;"Credit";"4657450616761";"2028-07-26";"953"
104;20859;"Debit";"342043523352166";"2028-03-14";"677"
105;6760;"Debit";"377881216393684";"2028-07-23";"247"
106;9449;"Debit";"3540370932467887";"2026-12-12";"964"
107;9349;"Credit";"3546405239266709";"2027-07-18";"965"
108;10354;"Debit";"5171209517995089";"2028-01-11";"286"
109;17670;"Debit";"213173395822693";"2028-04-18";"277"
110;42211;"Debit";"3515734611712775";"2026-04-06";"815"
111;20997;"Debit";"180050092553251";"2027-10-26";"792"
112;7587;"Credit";"4588601232463155";"2029-08-28";"988"
113;28122;"Debit";"3585048475256588";"2026-04-07";"800"
114;27401;"Credit";"377244378599335";"2030-05-05";"568"
115;48590;"Debit";"3577253753593351";"2029-01-22";"586"
116;42749;"Credit";"676168863113";"2029-03-11";"432"
117;26962;"Credit";"213159363370286";"2029-12-22";"690"
118;118;"Credit";"4209340954519320469";"2027-03-20";"601"
119;24297;"Debit";"4759611459289079";"2027-09-18";"564"
120;1108;"Credit";"3559133030380008";"2028-11-09";"534"
121;41688;"Debit";"213163151152419";"2027-09-27";"720"
122;36598;"Debit";"3565172463821148";"2027-09-04";"383"
123;17148;"Debit";"30219890033434";"2029-12-06";"338"
124;25752;"Credit";"4768669326190404029";"2027-01-07";"696"
125;23831;"Credit";"3593684645093855";"2026-08-02";"594"
126;5695;"Debit";"30564270302945";"2026-04-08";"674"
127;26876;"Credit";"213110116732405";"2026-03-29";"466"
128;39149;"Credit";"3551028867566786";"2027-05-30";"751"
129;3372;"Credit";"3513735782970243";"2027-06-23";"340"
130;22447;"Debit";"6011605751472317";"2027-12-24";"581"
131;45030;"Debit";"3578320889892939";"2030-09-01";"687"
132;22339;"Debit";"4333178975066402";"2029-07-03";"830"
133;20073;"Credit";"676340975520";"2026-05-22";"817"
134;37654;"Debit";"4064629068790550";"2028-02-07";"243"
135;14789;"Debit";"2703948870232960";"2029-02-11";"343"
136;47802;"Debit";"2279921860612685";"2028-05-03";"741"
137;42318;"Credit";"676156134493";"2027-09-19";"776"
138;39881;"Credit";"5256551187975364";"2028-11-19";"671"
139;47211;"Credit";"4177083338330199";"2027-08-20";"295"
140;22003;"Debit";"340022261265220";"2030-06-12";"138"
141;43472;"Credit";"4300942426035632";"2030-09-22";"799"
142;7206;"Credit";"3572717016125255";"2027-10-29";"146"
143;16679;"Debit";"4859191393237251";"2027-05-18";"555"
144;20767;"Credit";"4900761315910661";"2028-10-01";"624"
145;37148;"Debit";"4158436831703663";"2030-10-06";"526"
146;29594;"Credit";"4216058921588179610";"2029-11-03";"290"
147;6499;"Credit";"4397553443715322";"2026-04-05";"918"
148;5892;"Debit";"213177072096679";"2027-05-07";"277"
149;27980;"Debit";"371869102116125";"2027-07-29";"978"
150;8175;"Credit";"6011444442485250";"2026-02-27";"101"
151;38417;"Debit";"3542102861753534";"2028-02-15";"932"
152;46703;"Debit";"3580261799018874";"2029-07-23";"403"
153;3459;"Debit";"4112655508333489";"2029-06-03";"814"
154;41829;"Credit";"4287862155071441";"2027-02-02";"375"
155;22737;"Debit";"4922631228326533";"2028-11-18";"850"
156;6923;"Debit";"4802528453117428";"2030-05-20";"788"
157;24995;"Credit";"2253599930846853";"2027-09-03";"626"
158;14530;"Credit";"378472012229238";"2029-07-29";"301"
159;35490;"Credit";"4732754830246228";"2029-12-19";"958"
160;14056;"Debit";"6011509033123864";"2029-05-29";"775"
161;43764;"Debit";"30054738625335";"2026-08-03";"574"
162;36371;"Debit";"3518811616590401";"2028-05-30";"485"
163;13129;"Debit";"6011383209306178";"2028-10-08";"168"
164;5473;"Credit";"4527215705383";"2028-09-08";"577"
165;20735;"Debit";"213150694417698";"2029-12-31";"265"
166;14066;"Debit";"4449604033313784";"2027-03-04";"509"
167;24754;"Debit";"344873374974801";"2026-03-16";"449"
168;28343;"Credit";"30299121205779";"2028-02-03";"954"
169;34865;"Credit";"6011079044383493";"2025-12-22";"379"
170;11545;"Debit";"213137758581287";"2028-06-29";"477"
171;16708;"Credit";"378307940885000";"2027-08-27";"246"
172;2901;"Debit";"503832073251";"2027-04-12";"171"
173;13759;"Debit";"349419616718625";"2027-02-27";"521"
174;40397;"Credit";"378710609926470";"2030-01-11";"626"
175;19864;"Debit";"213152030213898";"2030-02-11";"874"
176;23298;"Debit";"4498218454031468";"2029-12-24";"465"
177;43700;"Credit";"2233292100539814";"2029-02-26";"239"
178;36472;"Debit";"4235251444152";"2030-08-19";"430"
179;1790;"Credit";"4133825701324537";"2029-05-27";"332"
180;24382;"Credit";"4169054762181";"2029-05-22";"546"
181;49101;"Debit";"4098033027612668941";"2027-07-04";"114"
182;14212;"Debit";"347303236211546";"2028-12-18";"977"
183;26046;"Debit";"38131375489860";"2030-05-05";"246"
184;15495;"Debit";"2706760152185593";"2026-01-28";"518"
185;25055;"Credit";"213145309304612";"2026-12-26";"301"
186;20083;"Credit";"2259419559780032";"2026-10-27";"396"
187;47938;"Credit";"2717499173048640";"2029-08-23";"385"
188;46315;"Credit";"3554908512848290";"2026-05-17";"232"
189;49617;"Debit";"6533813819843946";"2027-02-06";"196"
