"emp_id";"emp_name";"designation";"branch_id";"salary";"doj"
1;"Ria Deshpande";"Manager";1640;117693.81;"2021-02-09"
2;"Ekavir Master";"Clerk";14629;42442.24;"2024-08-05"
3;"Warinder Tiwari";"Manager";44349;117583.47;"2019-12-28"
4;"Janya Ramaswamy";"Manager";38699;77740.23;"2018-07-07"
5;"Warinder Ratta";"Manager";6141;52329.75;"2021-03-16"
6;"Elijah Sachdev";"Manager";36782;49854.71;"2025-06-28"
7;"Hredhaan Tripathi";"Officer";14447;81151.13;"2020-07-29"
8;"Yachana Vohra";"Cashier";426;119850.92;"2022-11-03"
9;"Nakul Sama";"Clerk";45754;77826.8;"2024-02-04"
10;"Vritti Wason";"Cashier";10190;51914.22;"2018-08-29"
11;"Rachit Setty";"Cashier";6699;36593.23;"2025-02-23"
12;"Nimrat Bakshi";"Manager";23527;130936.8;"2025-02-17"
13;"Akshay Morar";"Cashier";2848;116216.47;"2023-09-09"
14;"Ayushman Natt";"Manager";24808;34850.02;"2023-04-28"
15;"Lakshmi Agarwal";"Cashier";41199;102314.97;"2020-02-09"
16;"Naveen Srinivasan";"Cashier";37838;49036.07;"2024-11-27"
17;"Champak Mangat";"Manager";3004;107657.91;"2025-04-24"
18;"Ishaan Kumer";"Cashier";5230;131914.72;"2017-12-11"
19;"Ekantika Hans";"Manager";24912;59746.7;"2023-11-03"
20;"Harinakshi Buch";"Cashier";10660;71272.62;"2021-01-29"
21;"Chavvi Pingle";"Clerk";43921;58372.23;"2025-01-21"
22;"Urvi Kaur";"Manager";39921;104372.29;"2021-05-09"
23;"Yahvi Ramesh";"Clerk";10709;82782.53;"2022-01-31"
24;"Rayaan Bora";"Cashier";41944;111020.24;"2022-09-27"
25;"Qasim Babu";"Clerk";44867;65535.34;"2020-03-09"
26;"Om Krishnamurthy";"Manager";15011;127725.32;"2024-09-07"
27;"Samuel Sathe";"Cashier";26291;58467.61;"2020-10-04"
28;"Kashvi Naidu";"Clerk";37171;134545.95;"2018-06-12"
29;"Charles Sathe";"Cashier";13935;106929.83;"2025-10-21"
30;"Damini Bhatti";"Officer";42130;82356.48;"2022-06-30"
31;"Sanya Rao";"Cashier";9151;55828.44;"2022-04-27"
32;"Lavanya Dey";"Cashier";48957;98073.25;"2021-12-17"
33;"Vivaan Balan";"Officer";23724;52415.09;"2024-12-15"
34;"Faras Tailor";"Clerk";33393;86689.48;"2021-08-14"
35;"Elijah Kothari";"Manager";7186;44105.16;"2021-04-29"
36;"Vedhika Borde";"Clerk";44597;77770.0;"2022-04-18"
37;"Lucky Kalla";"Manager";25217;72702.41;"2020-11-18"
38;"Caleb Khatri";"Officer";34677;56426.76;"2023-11-20"
39;"Manthan Chad";"Manager";44584;115090.23;"2021-12-13"
40;"Advik Prabhu";"Cashier";42007;67521.93;"2018-01-08"
41;"Timothy Raju";"Cashier";28493;44769.72;"2020-07-09"
42;"Odika Salvi";"Manager";47324;134481.62;"2018-01-07"
43;"Shaurya Karpe";"Cashier";32807;120245.27;"2023-02-13"
44;"Dayita Vora";"Manager";40980;62305.6;"2018-12-08"
45;"Kashvi Gara";"Clerk";10017;71739.23;"2018-04-06"
46;"Yutika Nori";"Clerk";35349;144187.47;"2019-05-02"
47;"Gaurav Dave";"Manager";39253;65519.51;"2018-05-02"
